gid,provincia,nombre,sector,ndomicilio,localidad,departamento,ubicacion,x,y
47375,Santa Fe,ESCUELA NRO 6241 ANTONIO LUIS BERUTTI,Estatal,ZONA RURAL   COLONIA TACURALES,TACURALES,CASTELLANOS,GPS,"-61,8154476","-30,7708603"
47376,Santa Fe,ESCUELA NRO 654 JOAQUIN VICTOR GONZALEZ,Estatal,BARTOLOME MITRE 378,TACURAL,CASTELLANOS,GPS,"-61,5953094","-30,8476218"
47377,Santa Fe,ESCUELA NRO 1128 MARIANO MORENO,Estatal,RUTA NRO 96 S   ZONA RURAL,LA SARITA,GENERAL OBLIGADO,GPS,"-59,8528459","-28,9970298"
47378,Santa Fe,ESCUELA NRO 6195 SANTIAGO PETEAN,Estatal,VICTOR MANUEL 2-ZONA RURAL,VICTOR MANUEL 2,GENERAL OBLIGADO,GPS,"-59,8525163","-29,049614"
47382,Buenos Aires,ESCUELA HOGAR EVITA,Estatal,AUTOPISTA RICCHIERI Y RUTA Nº205 S/N,9 DE ABRIL,ESTEBAN ECHEVERRIA,GPS,"-58,52247662","-34,78325492"
47384,Buenos Aires,ESCUELA PRIMARIA Nº2 JUSTO JOSE DE URQUIZA,Estatal,CUARTEL VII   LA GARITA,LA GARITA,AYACUCHO,GPS,"-58,43659943","-37,12129892"
47410,Buenos Aires,ESCUELA PRIMARIA Nº10 MARIANO MORENO,Estatal,CAMINO REAL A CAÑUELAS S/N  MARRE,MARRE,GENERAL LAS HERAS,GPS,"-58,88055036","-34,96860894"
47411,Buenos Aires,ESCUELA PRIMARIA Nº53 LA ALBORADA,Estatal,CUARTEL V S/N  ESTACION LA ALBORADA,ESTACION LA ALBORADA,BALCARCE,GPS,"-58,21605024","-37,44380872"
47412,Buenos Aires,ESCUELA PRIMARIA Nº19 LUCIANO FORTABAT,Estatal,RUTA 80 1  VILLA CACIQUE,VILLA CACIQUE,BENITO JUAREZ,GPS,"-59,34268532","-37,67008344"
47414,Buenos Aires,ESCUELA PRIMARIA Nº21 ESPAÑA,Estatal,PARAJE LAS COLEGIALES   COLEGIALES,COLEGIALES,SAN PEDRO,GPS,"-59,86365345","-33,79981641"
47415,Buenos Aires,ESCUELA PRIMARIA Nº14 NUESTRA SEÑORA DE LUJAN,Estatal,1 Y RUTA 193 S/N  B° LA FLORIDA,LA PESQUERIA,ZARATE,GPS,"-59,0725494","-34,14566845"
47416,Buenos Aires,ESCUELA PRIMARIA Nº18 FRAY MAMERTO ESQUIU,Estatal,CAMINO LAS SIETE VUELTAS S/N  LAS PALMAS,LAS PALMAS,ZARATE,GPS,"-59,17459467","-34,08768065"
47417,Buenos Aires,ESCUELA PRIMARIA Nº11 ALMAFUERTE,Estatal,cno provincial nº 14 km 85 S/N  EL MOREJON,EL MOREJON,CAMPANA,GPS,"-59,03784714","-34,20972058"
47419,Buenos Aires,ESCUELA PRIMARIA Nº9 DOMINGO OJEDA,Estatal,CUARTEL V S/N,CARMEN DE ARECO,CARMEN DE ARECO,GPS,"-59,89164964","-34,54990572"
47420,Buenos Aires,ESCUELA PRIMARIA Nº22 NUESTRA SEÑORA DE LUJAN,Estatal,CARLOS SAAVEDRA LAMAS S/N  CAÑADA SECA,CAÑADA SECA,GENERAL VILLEGAS,GPS,"-62,96065789","-34,41859304"
47421,Buenos Aires,ESCUELA PRIMARIA Nº17 GENERAL JUAN LAVALLE,Estatal,CUARTEL VII   EL TRIANGULO,EL TRIANGULO,CASTELLI,GPS,"-57,68847953","-35,93331905"
47422,Buenos Aires,ESCUELA PRIMARIA Nº10 BERNARDINO RIVADAVIA,Estatal,AVENIDA BELGRANO 64,VIVORATA,MAR CHIQUITA,GPS,"-57,66595756","-37,66764852"
47423,Buenos Aires,ESCUELA PRIMARIA Nº10 DOMINGO FAUSTINO SARMIENTO,Estatal,CUARTEL II LENON VIDELA DORNA S/N  Z.VIDELA DORNA,ZENON VIDELA DORNA,MONTE,GPS,"-58,88499053","-35,54139745"
47424,Buenos Aires,ESCUELA PRIMARIA Nº4 RICARDO GUTIERREZ,Estatal,JULIA VILDOSOLA S/N,AZCUENAGA,SAN ANDRES DE GILES,GPS,"-59,37273118","-34,36592444"
